symbol,number,multiplicity,wyckoff,site_symmetry,coordinates
P 2_1/m 1 1,62,4.0,f,1,"(x,y,z) (x+1/2,-y,-z) (-x,-y,-z) (-x+1/2,y,z)"
P 2_1/m 1 1,62,2.0,e,m,"(1/4,y,z) (3/4,-y,-z)"
P 2_1/m 1 1,62,2.0,d,-1,"(0,1/2,1/2) (1/2,1/2,1/2)"
P 2_1/m 1 1,62,2.0,c,-1,"(0,1/2,0) (1/2,1/2,0)"
P 2_1/m 1 1,62,2.0,b,-1,"(0,0,1/2) (1/2,0,1/2)"
P 2_1/m 1 1,62,2.0,a,-1,"(0,0,0) (1/2,0,0)"
C 1 2/m 1,63,8.0,j,1,"(x,y,z) (-x,y,-z) (-x,-y,-z) (x,-y,z)"
C 1 2/m 1,63,4.0,i,m,"(x,0,z) (-x,0,-z)"
C 1 2/m 1,63,4.0,h,2,"(0,y,1/2) (0,-y,1/2)"
C 1 2/m 1,63,4.0,g,2,"(0,y,0) (0,-y,0)"
C 1 2/m 1,63,4.0,f,-1,"(1/4,1/4,1/2) (3/4,1/4,1/2)"
C 1 2/m 1,63,4.0,e,-1,"(1/4,1/4,0) (3/4,1/4,0)"
C 1 2/m 1,63,2.0,d,2/m,"(0,1/2,1/2)"
C 1 2/m 1,63,2.0,c,2/m,"(0,0,1/2)"
C 1 2/m 1,63,2.0,b,2/m,"(0,1/2,0)"
C 1 2/m 1,63,2.0,a,2/m,"(0,0,0)"
A 1 2/m 1,64,8.0,j,1,"(x,y,z) (-x,y,-z) (-x,-y,-z) (x,-y,z)"
A 1 2/m 1,64,4.0,i,m,"(x,0,z) (-x,0,-z)"
A 1 2/m 1,64,4.0,h,2,"(1/2,y,0) (1/2,-y,0)"
A 1 2/m 1,64,4.0,g,2,"(0,y,0) (0,-y,0)"
A 1 2/m 1,64,4.0,f,-1,"(1/2,1/4,1/4) (1/2,1/4,3/4)"
A 1 2/m 1,64,4.0,e,-1,"(0,1/4,1/4) (0,1/4,3/4)"
A 1 2/m 1,64,2.0,d,2/m,"(1/2,1/2,0)"
A 1 2/m 1,64,2.0,c,2/m,"(1/2,0,0)"
A 1 2/m 1,64,2.0,b,2/m,"(0,1/2,0)"
A 1 2/m 1,64,2.0,a,2/m,"(0,0,0)"
I 1 2/m 1,65,8.0,j,1,"(x,y,z) (-x,y,-z) (-x,-y,-z) (x,-y,z)"
I 1 2/m 1,65,4.0,i,m,"(x,0,z) (-x,0,-z)"
I 1 2/m 1,65,4.0,h,2,"(0,y,1/2) (0,-y,1/2)"
I 1 2/m 1,65,4.0,g,2,"(0,y,0) (0,-y,0)"
I 1 2/m 1,65,4.0,f,-1,"(1/4,1/4,3/4) (3/4,1/4,1/4)"
I 1 2/m 1,65,4.0,e,-1,"(1/4,1/4,1/4) (3/4,1/4,3/4)"
I 1 2/m 1,65,2.0,d,2/m,"(0,1/2,1/2)"
I 1 2/m 1,65,2.0,c,2/m,"(0,0,1/2)"
I 1 2/m 1,65,2.0,b,2/m,"(0,1/2,0)"
I 1 2/m 1,65,2.0,a,2/m,"(0,0,0)"
A 1 1 2/m,66,8.0,j,1,"(x,y,z) (-x,-y,z) (-x,-y,-z) (x,y,-z)"
A 1 1 2/m,66,4.0,i,m,"(x,y,0) (-x,-y,0)"
A 1 1 2/m,66,4.0,h,2,"(1/2,0,z) (1/2,0,-z)"
A 1 1 2/m,66,4.0,g,2,"(0,0,z) (0,0,-z)"
A 1 1 2/m,66,4.0,f,-1,"(1/2,1/4,1/4) (1/2,3/4,1/4)"
A 1 1 2/m,66,4.0,e,-1,"(0,1/4,1/4) (0,3/4,1/4)"
A 1 1 2/m,66,2.0,d,2/m,"(1/2,0,1/2)"
A 1 1 2/m,66,2.0,c,2/m,"(1/2,0,0)"
A 1 1 2/m,66,2.0,b,2/m,"(0,0,1/2)"
A 1 1 2/m,66,2.0,a,2/m,"(0,0,0)"
B 1 1 2/m,67,8.0,j,1,"(x,y,z) (-x,-y,z) (-x,-y,-z) (x,y,-z)"
B 1 1 2/m,67,4.0,i,m,"(x,y,0) (-x,-y,0)"
B 1 1 2/m,67,4.0,h,2,"(0,1/2,z) (0,1/2,-z)"
B 1 1 2/m,67,4.0,g,2,"(0,0,z) (0,0,-z)"
B 1 1 2/m,67,4.0,f,-1,"(1/4,1/2,1/4) (3/4,1/2,1/4)"
B 1 1 2/m,67,4.0,e,-1,"(1/4,0,1/4) (3/4,0,1/4)"
B 1 1 2/m,67,2.0,d,2/m,"(0,1/2,1/2)"
B 1 1 2/m,67,2.0,c,2/m,"(0,1/2,0)"
B 1 1 2/m,67,2.0,b,2/m,"(0,0,1/2)"
B 1 1 2/m,67,2.0,a,2/m,"(0,0,0)"
