number,multiplicity,wyckoff,wyckoff_in_space,site_symmetry,coordinates
62,16,i,n,1,"(x,y,z) (-x+1/2,-y+1/2,z) (-y+1/2,x,z) (y,-x+1/2,z) (-x+1/2,y,-z) (x,-y+1/2,-z) (y,x,-z) (-y+1/2,-x+1/2,-z) (-x,-y,-z) (x+1/2,y+1/2,-z) (y+1/2,-x,-z) (-y,x+1/2,-z) (x+1/2,-y,z) (-x,y+1/2,z) (-y,-x,z) (y+1/2,x+1/2,z)"
62,8,h,m,..m,"(x,-x,z) (-x+1/2,x+1/2,z) (x+1/2,x,z) (-x,-x+1/2,z) (-x+1/2,-x,-z) (x,x+1/2,-z) (-x,x,-z) (x+1/2,-x+1/2,-z)"
62,8,g,k,.2.,"(x,1/4,0) (-x+1/2,1/4,0) (1/4,x,0) (1/4,-x+1/2,0) (-x,3/4,0) (x+1/2,3/4,0) (3/4,-x,0) (3/4,x+1/2,0)"
62,8,f,i,..2,"(x,x,0) (-x+1/2,-x+1/2,0) (-x+1/2,x,0) (x,-x+1/2,0) (-x,-x,0) (x+1/2,x+1/2,0) (x+1/2,-x,0) (-x,x+1/2,0)"
62,4,e,h,2.mm,"(3/4,1/4,z) (1/4,3/4,z) (3/4,1/4,-z) (1/4,3/4,-z)"
62,4,d,g,4..,"(1/4,1/4,z) (1/4,1/4,-z) (3/4,3/4,-z) (3/4,3/4,z)"
62,4,c,e,..2/m,"(0,0,0) (1/2,1/2,0) (1/2,0,0) (0,1/2,0)"
62,2,b,c,-42m,"(3/4,1/4,0) (1/4,3/4,0)"
62,2,a,a,422,"(1/4,1/4,0) (3/4,3/4,0)"
63,16,h,l,1,"(x,y,z) (-x,-y,z) (-y,x,z) (y,-x,z) (-x+1/2,y+1/2,-z) (x+1/2,-y+1/2,-z) (y+1/2,x+1/2,-z) (-y+1/2,-x+1/2,-z) (-x,-y,-z) (x,y,-z) (y,-x,-z) (-y,x,-z) (x+1/2,-y+1/2,z) (-x+1/2,y+1/2,z) (-y+1/2,-x+1/2,z) (y+1/2,x+1/2,z)"
63,8,g,k,..m,"(x,x+1/2,z) (-x,-x+1/2,z) (-x+1/2,x,z) (x+1/2,-x,z) (-x+1/2,x,-z) (x+1/2,-x,-z) (x,x+1/2,-z) (-x,-x+1/2,-z)"
63,8,f,i,m..,"(x,y,0) (-x,-y,0) (-y,x,0) (y,-x,0) (-x+1/2,y+1/2,0) (x+1/2,-y+1/2,0) (y+1/2,x+1/2,0) (-y+1/2,-x+1/2,0)"
63,4,e,g,m.2m,"(x,x+1/2,0) (-x,-x+1/2,0) (-x+1/2,x,0) (x+1/2,-x,0)"
63,4,d,f,2.mm,"(0,1/2,z) (1/2,0,z) (1/2,0,-z) (0,1/2,-z)"
63,4,c,e,4..,"(0,0,z) (1/2,1/2,-z) (0,0,-z) (1/2,1/2,z)"
63,2,b,d,m.mm,"(0,1/2,0) (1/2,0,0)"
63,2,a,a,4/m..,"(0,0,0) (1/2,1/2,0)"
